"sample","diversity","abundance","pielou"
"Sample_1",2.41,47,0.73
"Sample_2",2.44,53,0.76
"Sample_3",1.79,78,0.7
"Sample_4",2.33,47,0.9
"Sample_5",2.14,34,0.86
"Sample_6",2.02,75,0.72
"Sample_7",2.24,69,0.87
"Sample_8",1.63,69,0.81
"Sample_9",2.16,50,0.78
"Sample_10",2.21,65,0.71
"Sample_11",1.96,65,0.81
"Sample_12",2.22,68,0.71
"Sample_13",2.43,71,0.74
"Sample_14",1.76,47,0.81
"Sample_15",1.96,56,0.8
"Sample_16",2.44,42,0.73
"Sample_17",2.48,48,0.73
"Sample_18",1.62,61,0.8
"Sample_19",1.97,45,0.89
"Sample_20",2.06,58,0.77
"Sample_21",2.4,46,0.74
"Sample_22",1.64,73,0.75
"Sample_23",2.49,38,0.81
"Sample_24",2.45,50,0.7
"Sample_25",1.58,72,0.86
"Sample_26",2.01,77,0.72
"Sample_27",1.89,37,0.81
"Sample_28",2.41,58,0.81
"Sample_29",1.95,67,0.82
"Sample_30",2.34,30,0.84
"Sample_31",2.24,42,0.72
"Sample_32",2.31,43,0.76
"Sample_33",1.89,34,0.89
"Sample_34",2.19,38,0.8
"Sample_35",1.5,45,0.73
"Sample_36",2.33,55,0.87
"Sample_37",1.51,72,0.74
"Sample_38",1.71,71,0.89
"Sample_39",2.41,71,0.88
"Sample_40",2.11,62,0.73
"Sample_41",1.88,58,0.86
"Sample_42",1.94,54,0.79
"Sample_43",1.54,80,0.73
"Sample_44",2.47,61,0.88
"Sample_45",1.93,46,0.77
"Sample_46",2.46,75,0.76
"Sample_47",2.39,43,0.78
"Sample_48",2.14,76,0.8
"Sample_49",2.47,35,0.77
"Sample_50",2.12,76,0.79
"Sample_51",1.83,72,0.71
"Sample_52",1.85,66,0.74
"Sample_53",1.9,45,0.9
"Sample_54",2.28,78,0.77
"Sample_55",1.54,78,0.73
"Sample_56",2.25,79,0.8
"Sample_57",2.18,60,0.7
"Sample_58",1.67,63,0.77
"Sample_59",1.76,59,0.71
"Sample_60",2.01,61,0.87
"Sample_61",2.18,35,0.85
"Sample_62",2.48,51,0.76
"Sample_63",2.26,67,0.78
"Sample_64",2.07,60,0.77
"Sample_65",2.35,35,0.72
"Sample_66",1.69,49,0.85
"Sample_67",1.77,44,0.82
"Sample_68",2.33,63,0.73
"Sample_69",2.19,71,0.71
"Sample_70",1.74,52,0.8
"Sample_71",1.54,41,0.79
"Sample_72",1.64,55,0.71
"Sample_73",1.72,70,0.77
"Sample_74",1.98,30,0.88
"Sample_75",1.7,31,0.89
"Sample_76",2.22,53,0.78
"Sample_77",1.51,63,0.73
"Sample_78",1.88,54,0.76
"Sample_79",2.01,57,0.76
"Sample_80",1.5,72,0.72
"Sample_81",2.08,43,0.9
"Sample_82",1.66,63,0.8
"Sample_83",1.86,31,0.72
"Sample_84",2.15,60,0.74
"Sample_85",2.28,61,0.89
"Sample_86",2.06,56,0.76
"Sample_87",1.73,39,0.83
"Sample_88",1.59,57,0.88
"Sample_89",1.59,66,0.9
"Sample_90",1.81,39,0.79
"Sample_91",2.17,78,0.78
"Sample_92",1.5,78,0.73
"Sample_93",1.71,34,0.76
"Sample_94",2.43,64,0.81
"Sample_95",2.43,43,0.89
"Sample_96",2.23,43,0.77
"Sample_97",1.83,57,0.87
"Sample_98",2.02,62,0.84
"Sample_99",2.24,66,0.85
"Sample_100",2.12,64,0.88
